step,episode,return,loss
4,1,15.0,0.0
6,2,0.0,0.0
7,3,0.0,0.0
8,4,16.0,0.0
10,5,0.0,0.0
12,6,0.0,0.0
13,7,0.0,0.0
14,8,0.0,0.0
15,9,0.0,0.0
16,10,0.0,0.0
17,11,0.0,0.0
19,12,0.0,0.0
20,13,0.0,0.0
21,14,16.0,0.0
24,15,11.0,0.0
27,16,8.0,0.0
28,17,0.0,0.0
29,18,0.0,0.0
30,19,0.0,0.0
31,20,0.0,0.0
32,21,0.0,0.0
33,22,17.0,0.0
34,23,14.0,0.0
36,24,0.0,0.0
37,25,0.0,0.0
39,26,0.0,0.0
44,27,6.0,0.0
45,28,0.0,0.0
46,29,0.0,0.0
47,30,0.0,0.0
49,31,11.0,0.0
50,32,0.0,0.0
51,33,0.0,0.0
52,34,0.0,0.0
54,35,25.0,0.0
56,36,14.0,0.0
57,37,1.0,0.0
58,38,12.0,0.0
59,39,0.0,0.0
62,40,0.0,0.0
63,41,0.0,0.0
64,42,0.0,0.0
65,43,9.0,0.0
66,44,0.0,0.0
67,45,19.0,0.0
69,46,0.0,0.0
71,47,8.0,0.0
72,48,0.0,0.0
73,49,0.0,0.0
75,50,0.0,0.0
76,51,15.0,0.0
78,52,4.0,0.0
80,53,0.0,0.0
81,54,0.0,0.0
83,55,0.0,0.0
87,56,0.0,0.0
88,57,0.0,0.0
89,58,16.0,0.0
90,59,17.0,0.0
91,60,10.0,0.0
95,61,2.0,0.0
96,62,10.0,0.0
99,63,14.0,0.0
100,64,0.0,0.0
101,65,5.0,0.0
104,66,11.0,0.0
106,67,0.0,0.0
107,68,0.0,0.0
109,69,0.0,0.0
110,70,0.0,0.0
111,71,0.0,0.0
112,72,0.0,0.0
114,73,0.0,0.0
115,74,5.0,0.0
116,75,0.0,0.0
118,76,0.0,0.0
123,77,0.0,0.0
124,78,27.0,0.0
127,79,11.0,0.0
128,80,6.0,0.0
129,81,18.0,8.528486251831055
130,82,0.0,0.0
131,83,11.0,0.0
133,84,15.0,0.0
134,85,0.0,0.0
135,86,0.0,0.0
136,87,0.0,0.0
137,88,0.0,0.0
138,89,0.0,0.0
139,90,0.0,0.0
142,91,9.0,0.0
143,92,0.0,0.0
144,93,0.0,0.0
146,94,0.0,0.0
147,95,0.0,0.0
148,96,11.0,0.0
149,97,0.0,0.0
152,98,0.0,0.0
153,99,1.0,0.0
154,100,13.0,0.0
157,101,0.0,0.0
158,102,0.0,0.0
160,103,14.0,0.0
161,104,0.0,0.0
162,105,5.0,0.0
163,106,0.0,0.0
164,107,0.0,0.0
167,108,0.0,0.0
169,109,0.0,0.0
171,110,14.0,0.0
172,111,0.0,0.0
176,112,12.0,0.0
178,113,0.0,0.0
181,114,15.0,0.0
183,115,0.0,0.0
186,116,0.0,0.0
187,117,0.0,0.0
192,118,3.0,0.0
193,119,19.0,0.0
195,120,0.0,0.0
196,121,0.0,0.0
197,122,0.0,0.0
198,123,0.0,0.0
199,124,0.0,0.0
201,125,8.0,0.0
202,126,0.0,0.0
203,127,0.0,0.0
204,128,0.0,0.0
205,129,0.0,0.0
206,130,0.0,0.0
207,131,0.0,0.0
209,132,9.0,0.0
210,133,19.0,0.0
211,134,0.0,0.0
213,135,10.0,0.0
216,136,9.0,0.0
217,137,0.0,0.0
218,138,0.0,0.0
222,139,16.0,0.0
223,140,7.0,0.0
225,141,0.0,0.0
226,142,0.0,0.0
228,143,0.0,0.0
230,144,0.0,0.0
231,145,0.0,0.0
233,146,0.0,0.0
234,147,8.0,0.0
236,148,4.0,0.0
237,149,0.0,0.0
238,150,0.0,0.0
239,151,0.0,0.0
243,152,0.0,0.0
244,153,0.0,0.0
246,154,18.0,0.0
247,155,0.0,0.0
248,156,0.0,0.0
249,157,0.0,0.0
250,158,0.0,0.0
253,159,16.0,0.0
254,160,0.0,0.0
255,161,12.0,0.0
257,162,0.0,9.61807918548584
258,163,0.0,0.0
259,164,10.0,0.0
260,165,0.0,0.0
261,166,0.0,0.0
262,167,5.0,0.0
264,168,0.0,0.0
265,169,0.0,0.0
266,170,11.0,0.0
267,171,0.0,0.0
269,172,0.0,0.0
270,173,0.0,0.0
272,174,0.0,0.0
273,175,0.0,0.0
278,176,0.0,0.0
279,177,0.0,0.0
281,178,0.0,0.0
284,179,0.0,0.0
285,180,0.0,0.0
286,181,16.0,0.0
288,182,0.0,0.0
290,183,0.0,0.0
294,184,0.0,0.0
296,185,0.0,0.0
297,186,14.0,0.0
299,187,9.0,0.0
301,188,18.0,0.0
302,189,22.0,0.0
303,190,0.0,0.0
305,191,0.0,0.0
310,192,0.0,0.0
311,193,0.0,0.0
312,194,0.0,0.0
315,195,0.0,0.0
320,196,0.0,0.0
322,197,2.0,0.0
323,198,0.0,0.0
324,199,0.0,0.0
325,200,0.0,0.0
326,201,0.0,0.0
327,202,0.0,0.0
329,203,0.0,0.0
332,204,20.0,0.0
334,205,0.0,0.0
336,206,0.0,0.0
337,207,0.0,0.0
338,208,0.0,0.0
340,209,12.0,0.0
341,210,0.0,0.0
343,211,1.0,0.0
344,212,24.0,0.0
345,213,0.0,0.0
346,214,0.0,0.0
347,215,14.0,0.0
348,216,0.0,0.0
349,217,0.0,0.0
350,218,0.0,0.0
351,219,3.0,0.0
352,220,17.0,0.0
357,221,4.0,0.0
358,222,0.0,0.0
359,223,0.0,0.0
361,224,17.0,0.0
362,225,0.0,0.0
363,226,0.0,0.0
364,227,6.0,0.0
365,228,0.0,0.0
368,229,1.0,0.0
371,230,0.0,0.0
372,231,0.0,0.0
373,232,22.0,0.0
374,233,0.0,0.0
375,234,0.0,0.0
376,235,0.0,0.0
377,236,0.0,0.0
378,237,26.0,0.0
379,238,1.0,0.0
380,239,0.0,0.0
381,240,0.0,0.0
383,241,13.0,0.0
385,242,16.0,11.064627647399902
386,243,0.0,0.0
387,244,0.0,0.0
389,245,0.0,0.0
391,246,0.0,0.0
392,247,0.0,0.0
394,248,17.0,0.0
395,249,14.0,0.0
396,250,0.0,0.0
397,251,0.0,0.0
398,252,0.0,0.0
399,253,7.0,0.0
401,254,0.0,0.0
402,255,11.0,0.0
404,256,0.0,0.0
407,257,0.0,0.0
411,258,0.0,0.0
412,259,16.0,0.0
414,260,3.0,0.0
415,261,0.0,0.0
416,262,0.0,0.0
417,263,0.0,0.0
418,264,0.0,0.0
419,265,10.0,0.0
420,266,0.0,0.0
421,267,14.0,0.0
422,268,0.0,0.0
426,269,13.0,0.0
427,270,14.0,0.0
428,271,0.0,0.0
432,272,0.0,0.0
433,273,0.0,0.0
434,274,0.0,0.0
435,275,0.0,0.0
437,276,15.0,0.0
440,277,0.0,0.0
441,278,16.0,0.0
442,279,18.0,0.0
443,280,0.0,0.0
446,281,7.0,0.0
447,282,0.0,0.0
448,283,6.0,0.0
449,284,0.0,0.0
452,285,0.0,0.0
453,286,15.0,0.0
454,287,8.0,0.0
456,288,0.0,0.0
457,289,17.0,0.0
458,290,0.0,0.0
460,291,0.0,0.0
461,292,0.0,0.0
463,293,18.0,0.0
464,294,0.0,0.0
466,295,15.0,0.0
468,296,6.0,0.0
471,297,0.0,0.0
474,298,0.0,0.0
476,299,13.0,0.0
478,300,22.0,0.0
479,301,0.0,0.0
480,302,9.0,0.0
482,303,0.0,0.0
483,304,0.0,0.0
487,305,0.0,0.0
490,306,20.0,0.0
492,307,6.0,0.0
493,308,0.0,0.0
494,309,0.0,0.0
495,310,3.0,0.0
497,311,12.0,0.0
498,312,0.0,0.0
503,313,0.0,0.0
505,314,7.0,0.0
506,315,0.0,0.0
507,316,0.0,0.0
508,317,0.0,0.0
510,318,9.0,0.0
511,319,0.0,0.0
513,320,17.0,9.605926513671875
515,321,0.0,0.0
516,322,0.0,0.0
520,323,0.0,0.0
522,324,0.0,0.0
523,325,0.0,0.0
524,326,0.0,0.0
525,327,0.0,0.0
526,328,11.0,0.0
527,329,0.0,0.0
529,330,0.0,0.0
531,331,0.0,0.0
532,332,0.0,0.0
533,333,0.0,0.0
534,334,0.0,0.0
535,335,0.0,0.0
536,336,0.0,0.0
538,337,7.0,0.0
539,338,16.0,0.0
542,339,10.0,0.0
543,340,5.0,0.0
544,341,17.0,0.0
546,342,9.0,0.0
548,343,4.0,0.0
550,344,21.0,0.0
552,345,4.0,0.0
556,346,5.0,0.0
558,347,0.0,0.0
559,348,0.0,0.0
560,349,0.0,0.0
561,350,15.0,0.0
563,351,10.0,0.0
564,352,0.0,0.0
565,353,0.0,0.0
566,354,0.0,0.0
567,355,0.0,0.0
569,356,0.0,0.0
570,357,0.0,0.0
571,358,17.0,0.0
572,359,14.0,0.0
573,360,0.0,0.0
575,361,16.0,0.0
576,362,10.0,0.0
578,363,12.0,0.0
579,364,18.0,0.0
581,365,0.0,0.0
583,366,9.0,0.0
584,367,4.0,0.0
585,368,0.0,0.0
586,369,0.0,0.0
587,370,11.0,0.0
588,371,11.0,0.0
589,372,0.0,0.0
591,373,0.0,0.0
592,374,9.0,0.0
593,375,0.0,0.0
594,376,0.0,0.0
595,377,4.0,0.0
596,378,0.0,0.0
597,379,0.0,0.0
598,380,0.0,0.0
599,381,0.0,0.0
600,382,11.0,0.0
603,383,0.0,0.0
604,384,0.0,0.0
605,385,0.0,0.0
606,386,0.0,0.0
607,387,9.0,0.0
608,388,0.0,0.0
609,389,11.0,0.0
610,390,0.0,0.0
611,391,0.0,0.0
613,392,12.0,0.0
615,393,13.0,0.0
616,394,0.0,0.0
618,395,0.0,0.0
619,396,0.0,0.0
620,397,0.0,0.0
621,398,0.0,0.0
622,399,0.0,0.0
623,400,0.0,0.0
624,401,17.0,0.0
628,402,11.0,0.0
630,403,8.0,0.0
631,404,13.0,0.0
632,405,0.0,0.0
635,406,0.0,0.0
636,407,0.0,0.0
638,408,12.0,0.0
639,409,0.0,0.0
640,410,7.0,0.0
641,411,0.0,7.660459995269775
642,412,0.0,0.0
643,413,0.0,0.0
644,414,0.0,0.0
645,415,10.0,0.0
646,416,13.0,0.0
647,417,0.0,0.0
648,418,23.0,0.0
649,419,14.0,0.0
651,420,15.0,0.0
652,421,0.0,0.0
653,422,0.0,0.0
654,423,13.0,0.0
655,424,0.0,0.0
656,425,0.0,0.0
658,426,16.0,0.0
659,427,0.0,0.0
660,428,0.0,0.0
661,429,14.0,0.0
662,430,13.0,0.0
664,431,11.0,0.0
665,432,16.0,0.0
667,433,5.0,0.0
668,434,0.0,0.0
669,435,0.0,0.0
670,436,0.0,0.0
672,437,12.0,0.0
673,438,0.0,0.0
677,439,13.0,0.0
678,440,2.0,0.0
680,441,0.0,0.0
681,442,0.0,0.0
683,443,12.0,0.0
684,444,2.0,0.0
685,445,8.0,0.0
687,446,0.0,0.0
688,447,0.0,0.0
689,448,0.0,0.0
690,449,11.0,0.0
692,450,0.0,0.0
693,451,0.0,0.0
694,452,11.0,0.0
695,453,11.0,0.0
696,454,0.0,0.0
697,455,0.0,0.0
698,456,18.0,0.0
700,457,0.0,0.0
701,458,0.0,0.0
702,459,0.0,0.0
704,460,12.0,0.0
708,461,11.0,0.0
713,462,0.0,0.0
715,463,0.0,0.0
716,464,13.0,0.0
717,465,10.0,0.0
718,466,9.0,0.0
720,467,15.0,0.0
721,468,0.0,0.0
723,469,0.0,0.0
724,470,0.0,0.0
726,471,0.0,0.0
728,472,12.0,0.0
729,473,17.0,0.0
730,474,0.0,0.0
732,475,0.0,0.0
733,476,0.0,0.0
734,477,0.0,0.0
735,478,0.0,0.0
736,479,0.0,0.0
738,480,0.0,0.0
742,481,0.0,0.0
743,482,0.0,0.0
744,483,0.0,0.0
746,484,0.0,0.0
747,485,7.0,0.0
748,486,0.0,0.0
749,487,0.0,0.0
750,488,0.0,0.0
751,489,0.0,0.0
752,490,3.0,0.0
753,491,8.0,0.0
755,492,0.0,0.0
756,493,0.0,0.0
757,494,0.0,0.0
759,495,1.0,0.0
760,496,0.0,0.0
761,497,0.0,0.0
763,498,0.0,0.0
766,499,10.0,0.0
767,500,9.0,0.0
769,501,12.0,6.413485527038574
770,502,15.0,0.0
771,503,0.0,0.0
773,504,0.0,0.0
775,505,11.0,0.0
776,506,13.0,0.0
779,507,17.0,0.0
780,508,0.0,0.0
782,509,12.0,0.0
784,510,0.0,0.0
785,511,11.0,0.0
786,512,0.0,0.0
787,513,0.0,0.0
788,514,0.0,0.0
789,515,6.0,0.0
790,516,25.0,0.0
791,517,10.0,0.0
792,518,16.0,0.0
793,519,0.0,0.0
795,520,0.0,0.0
796,521,0.0,0.0
797,522,0.0,0.0
798,523,0.0,0.0
799,524,0.0,0.0
800,525,0.0,0.0
801,526,12.0,0.0
802,527,3.0,0.0
803,528,14.0,0.0
804,529,0.0,0.0
805,530,0.0,0.0
806,531,11.0,0.0
807,532,0.0,0.0
809,533,17.0,0.0
810,534,8.0,0.0
811,535,14.0,0.0
812,536,5.0,0.0
813,537,0.0,0.0
815,538,19.0,0.0
817,539,20.0,0.0
818,540,11.0,0.0
820,541,0.0,0.0
821,542,0.0,0.0
822,543,0.0,0.0
824,544,19.0,0.0
826,545,4.0,0.0
827,546,11.0,0.0
828,547,0.0,0.0
