step,episode,return,loss
4,1,13.0,0.0
8,2,0.0,0.0
9,3,0.0,0.0
13,4,0.0,0.0
14,5,0.0,0.0
15,6,0.0,0.0
20,7,0.0,0.0
21,8,0.0,0.0
22,9,0.0,0.0
25,10,0.0,0.0
27,11,0.0,0.0
32,12,0.0,0.0
35,13,20.0,0.0
37,14,14.0,0.0
38,15,23.0,0.0
39,16,0.0,0.0
44,17,0.0,0.0
46,18,0.0,0.0
47,19,0.0,0.0
48,20,0.0,0.0
49,21,0.0,0.0
51,22,0.0,0.0
55,23,0.0,0.0
57,24,13.0,0.0
62,25,0.0,0.0
65,26,0.0,0.0
66,27,0.0,0.0
70,28,10.0,0.0
71,29,0.0,0.0
73,30,0.0,0.0
74,31,0.0,0.0
75,32,0.0,0.0
80,33,0.0,0.0
81,34,0.0,0.0
82,35,0.0,0.0
85,36,0.0,0.0
86,37,0.0,0.0
90,38,0.0,0.0
92,39,0.0,0.0
97,40,0.0,0.0
99,41,0.0,0.0
103,42,0.0,0.0
105,43,0.0,0.0
107,44,0.0,0.0
112,45,0.0,0.0
113,46,0.0,0.0
116,47,0.0,0.0
118,48,19.0,0.0
122,49,0.0,0.0
124,50,13.0,0.0
125,51,7.0,0.0
126,52,0.0,0.0
127,53,0.0,0.0
130,54,3.0,5.067842960357666
135,55,0.0,0.0
136,56,0.0,0.0
137,57,0.0,0.0
138,58,0.0,0.0
142,59,0.0,0.0
145,60,0.0,0.0
146,61,0.0,0.0
148,62,0.0,0.0
151,63,0.0,0.0
155,64,0.0,0.0
156,65,0.0,0.0
157,66,0.0,0.0
162,67,0.0,0.0
164,68,0.0,0.0
166,69,0.0,0.0
167,70,12.0,0.0
170,71,0.0,0.0
172,72,0.0,0.0
175,73,0.0,0.0
176,74,0.0,0.0
177,75,14.0,0.0
180,76,10.0,0.0
182,77,0.0,0.0
183,78,0.0,0.0
188,79,0.0,0.0
189,80,0.0,0.0
190,81,0.0,0.0
191,82,0.0,0.0
192,83,6.0,0.0
193,84,0.0,0.0
197,85,0.0,0.0
200,86,0.0,0.0
203,87,0.0,0.0
205,88,0.0,0.0
206,89,0.0,0.0
209,90,0.0,0.0
213,91,7.0,0.0
215,92,0.0,0.0
217,93,0.0,0.0
219,94,21.0,0.0
221,95,7.0,0.0
222,96,0.0,0.0
227,97,0.0,0.0
228,98,0.0,0.0
233,99,0.0,0.0
236,100,0.0,0.0
239,101,0.0,0.0
242,102,0.0,0.0
243,103,0.0,0.0
247,104,0.0,0.0
250,105,0.0,0.0
253,106,0.0,0.0
257,107,0.0,0.39581364393234253
258,108,0.0,0.0
261,109,0.0,0.0
264,110,0.0,0.0
266,111,0.0,0.0
270,112,0.0,0.0
275,113,0.0,0.0
278,114,0.0,0.0
280,115,0.0,0.0
282,116,19.0,0.0
283,117,0.0,0.0
284,118,0.0,0.0
288,119,0.0,0.0
290,120,12.0,0.0
291,121,0.0,0.0
296,122,10.0,0.0
298,123,0.0,0.0
300,124,0.0,0.0
302,125,0.0,0.0
303,126,0.0,0.0
304,127,0.0,0.0
305,128,0.0,0.0
309,129,0.0,0.0
310,130,15.0,0.0
311,131,0.0,0.0
313,132,0.0,0.0
315,133,0.0,0.0
316,134,0.0,0.0
317,135,0.0,0.0
322,136,7.0,0.0
327,137,0.0,0.0
332,138,23.0,0.0
336,139,0.0,0.0
341,140,0.0,0.0
342,141,5.0,0.0
347,142,0.0,0.0
348,143,0.0,0.0
353,144,0.0,0.0
355,145,5.0,0.0
360,146,2.0,0.0
365,147,0.0,0.0
368,148,0.0,0.0
369,149,0.0,0.0
370,150,0.0,0.0
372,151,11.0,0.0
375,152,15.0,0.0
376,153,0.0,0.0
380,154,0.0,0.0
382,155,0.0,0.0
384,156,0.0,0.0
389,157,0.0,2.9953126907348633
393,158,4.0,0.0
394,159,13.0,0.0
395,160,0.0,0.0
400,161,13.0,0.0
405,162,0.0,0.0
409,163,0.0,0.0
411,164,0.0,0.0
412,165,0.0,0.0
414,166,0.0,0.0
419,167,0.0,0.0
423,168,0.0,0.0
426,169,0.0,0.0
430,170,12.0,0.0
431,171,0.0,0.0
434,172,0.0,0.0
435,173,0.0,0.0
436,174,26.0,0.0
441,175,0.0,0.0
442,176,0.0,0.0
443,177,12.0,0.0
447,178,13.0,0.0
450,179,7.0,0.0
454,180,10.0,0.0
455,181,0.0,0.0
458,182,15.0,0.0
460,183,0.0,0.0
461,184,0.0,0.0
463,185,15.0,0.0
464,186,0.0,0.0
467,187,17.0,0.0
469,188,5.0,0.0
474,189,0.0,0.0
477,190,10.0,0.0
479,191,0.0,0.0
484,192,3.0,0.0
485,193,0.0,0.0
486,194,0.0,0.0
489,195,0.0,0.0
494,196,0.0,0.0
496,197,17.0,0.0
497,198,0.0,0.0
498,199,0.0,0.0
501,200,0.0,0.0
504,201,6.0,0.0
505,202,17.0,0.0
507,203,0.0,0.0
508,204,0.0,0.0
509,205,0.0,0.0
513,206,11.0,5.729301929473877
514,207,0.0,0.0
515,208,11.0,0.0
517,209,0.0,0.0
521,210,11.0,0.0
524,211,0.0,0.0
526,212,0.0,0.0
529,213,0.0,0.0
534,214,15.0,0.0
538,215,0.0,0.0
539,216,17.0,0.0
542,217,0.0,0.0
543,218,0.0,0.0
544,219,0.0,0.0
545,220,0.0,0.0
546,221,3.0,0.0
547,222,0.0,0.0
551,223,0.0,0.0
555,224,0.0,0.0
557,225,17.0,0.0
562,226,15.0,0.0
564,227,0.0,0.0
567,228,0.0,0.0
569,229,24.0,0.0
571,230,23.0,0.0
575,231,10.0,0.0
578,232,0.0,0.0
579,233,9.0,0.0
580,234,0.0,0.0
585,235,0.0,0.0
590,236,0.0,0.0
591,237,0.0,0.0
592,238,0.0,0.0
593,239,0.0,0.0
596,240,9.0,0.0
601,241,13.0,0.0
603,242,0.0,0.0
604,243,0.0,0.0
605,244,0.0,0.0
610,245,0.0,0.0
613,246,0.0,0.0
614,247,13.0,0.0
616,248,0.0,0.0
621,249,0.0,0.0
623,250,0.0,0.0
625,251,0.0,0.0
628,252,0.0,0.0
632,253,7.0,0.0
634,254,0.0,0.0
635,255,0.0,0.0
636,256,0.0,0.0
637,257,0.0,0.0
640,258,0.0,0.0
642,259,16.0,4.481812000274658
646,260,0.0,0.0
647,261,0.0,0.0
649,262,0.0,0.0
650,263,20.0,0.0
652,264,6.0,0.0
657,265,0.0,0.0
658,266,0.0,0.0
660,267,7.0,0.0
661,268,0.0,0.0
665,269,5.0,0.0
666,270,18.0,0.0
669,271,0.0,0.0
671,272,0.0,0.0
672,273,0.0,0.0
673,274,7.0,0.0
678,275,0.0,0.0
680,276,0.0,0.0
684,277,7.0,0.0
686,278,0.0,0.0
689,279,0.0,0.0
690,280,15.0,0.0
694,281,11.0,0.0
697,282,12.0,0.0
698,283,0.0,0.0
699,284,0.0,0.0
701,285,15.0,0.0
704,286,7.0,0.0
707,287,0.0,0.0
712,288,0.0,0.0
717,289,0.0,0.0
722,290,0.0,0.0
723,291,0.0,0.0
724,292,4.0,0.0
728,293,9.0,0.0
732,294,8.0,0.0
737,295,0.0,0.0
741,296,13.0,0.0
746,297,0.0,0.0
747,298,15.0,0.0
748,299,0.0,0.0
753,300,0.0,0.0
758,301,0.0,0.0
759,302,0.0,0.0
761,303,8.0,0.0
762,304,12.0,0.0
764,305,16.0,0.0
765,306,8.0,0.0
768,307,14.0,0.0
773,308,0.0,4.65510892868042
774,309,8.0,0.0
775,310,0.0,0.0
776,311,4.0,0.0
777,312,0.0,0.0
782,313,0.0,0.0
787,314,0.0,0.0
788,315,0.0,0.0
789,316,0.0,0.0
790,317,0.0,0.0
793,318,19.0,0.0
796,319,0.0,0.0
798,320,0.0,0.0
801,321,0.0,0.0
804,322,18.0,0.0
807,323,0.0,0.0
810,324,12.0,0.0
812,325,0.0,0.0
814,326,0.0,0.0
816,327,0.0,0.0
821,328,0.0,0.0
824,329,0.0,0.0
826,330,0.0,0.0
831,331,0.0,0.0
836,332,0.0,0.0
837,333,0.0,0.0
842,334,0.0,0.0
843,335,0.0,0.0
848,336,0.0,0.0
852,337,0.0,0.0
853,338,0.0,0.0
856,339,0.0,0.0
858,340,0.0,0.0
860,341,14.0,0.0
863,342,0.0,0.0
864,343,20.0,0.0
868,344,11.0,0.0
873,345,0.0,0.0
876,346,0.0,0.0
877,347,0.0,0.0
878,348,0.0,0.0
879,349,0.0,0.0
880,350,0.0,0.0
885,351,0.0,0.0
886,352,0.0,0.0
889,353,0.0,0.0
893,354,10.0,0.0
894,355,0.0,0.0
899,356,0.0,2.686103343963623
901,357,2.0,0.0
903,358,0.0,0.0
906,359,0.0,0.0
908,360,5.0,0.0
909,361,0.0,0.0
914,362,0.0,0.0
916,363,0.0,0.0
921,364,0.0,0.0
923,365,0.0,0.0
924,366,5.0,0.0
925,367,19.0,0.0
930,368,0.0,0.0
933,369,0.0,0.0
935,370,0.0,0.0
937,371,0.0,0.0
939,372,12.0,0.0
940,373,0.0,0.0
945,374,0.0,0.0
949,375,0.0,0.0
950,376,0.0,0.0
954,377,0.0,0.0
957,378,0.0,0.0
958,379,10.0,0.0
960,380,3.0,0.0
965,381,0.0,0.0
966,382,0.0,0.0
967,383,9.0,0.0
972,384,0.0,0.0
973,385,18.0,0.0
974,386,3.0,0.0
975,387,0.0,0.0
976,388,6.0,0.0
979,389,10.0,0.0
981,390,18.0,0.0
985,391,0.0,0.0
986,392,0.0,0.0
989,393,0.0,0.0
990,394,0.0,0.0
994,395,0.0,0.0
998,396,0.0,0.0
1000,397,0.0,0.0
1005,398,0.0,0.0
1006,399,0.0,0.0
1008,400,8.0,0.0
1009,401,0.0,0.0
1012,402,9.0,0.0
1015,403,1.0,0.0
1016,404,0.0,0.0
1017,405,5.0,0.0
1019,406,12.0,0.0
1021,407,0.0,0.0
1022,408,0.0,0.0
1026,409,19.0,5.437315464019775
1029,410,0.0,0.0
1031,411,0.0,0.0
1033,412,0.0,0.0
1034,413,15.0,0.0
1039,414,20.0,0.0
1041,415,5.0,0.0
1043,416,14.0,0.0
1045,417,16.0,0.0
1048,418,10.0,0.0
1053,419,0.0,0.0
1056,420,11.0,0.0
1060,421,0.0,0.0
1061,422,0.0,0.0
1063,423,0.0,0.0
1065,424,2.0,0.0
1066,425,6.0,0.0
1068,426,0.0,0.0
1073,427,24.0,0.0
1077,428,0.0,0.0
1078,429,5.0,0.0
1079,430,0.0,0.0
1081,431,0.0,0.0
1082,432,12.0,0.0
1083,433,0.0,0.0
1085,434,0.0,0.0
1088,435,9.0,0.0
1090,436,18.0,0.0
1093,437,0.0,0.0
1097,438,15.0,0.0
1099,439,13.0,0.0
1101,440,0.0,0.0
1104,441,0.0,0.0
1105,442,0.0,0.0
1106,443,0.0,0.0
1108,444,0.0,0.0
1113,445,0.0,0.0
1115,446,13.0,0.0
1118,447,0.0,0.0
1123,448,0.0,0.0
1128,449,9.0,0.0
1129,450,0.0,0.0
1132,451,12.0,0.0
1134,452,0.0,0.0
1138,453,23.0,0.0
1141,454,5.0,0.0
1146,455,0.0,0.0
1147,456,0.0,0.0
1149,457,0.0,0.0
1150,458,0.0,0.0
1151,459,6.0,0.0
1153,460,0.0,11.30504035949707
1157,461,15.0,0.0
1161,462,10.0,0.0
1163,463,0.0,0.0
1165,464,9.0,0.0
1167,465,4.0,0.0
1168,466,5.0,0.0
1169,467,0.0,0.0
1174,468,13.0,0.0
1175,469,0.0,0.0
1176,470,9.0,0.0
1177,471,0.0,0.0
1179,472,10.0,0.0
1181,473,0.0,0.0
1185,474,0.0,0.0
1190,475,0.0,0.0
1191,476,0.0,0.0
1192,477,6.0,0.0
1193,478,0.0,0.0
1194,479,0.0,0.0
1197,480,6.0,0.0
1198,481,0.0,0.0
1203,482,0.0,0.0
1204,483,0.0,0.0
1207,484,7.0,0.0
1209,485,0.0,0.0
1210,486,0.0,0.0
1214,487,0.0,0.0
1219,488,0.0,0.0
1220,489,3.0,0.0
1222,490,5.0,0.0
1223,491,0.0,0.0
1226,492,0.0,0.0
1230,493,10.0,0.0
1231,494,10.0,0.0
1232,495,16.0,0.0
1234,496,0.0,0.0
1236,497,13.0,0.0
1237,498,0.0,0.0
1239,499,0.0,0.0
1240,500,15.0,0.0
1241,501,10.0,0.0
1244,502,0.0,0.0
1248,503,0.0,0.0
1250,504,3.0,0.0
1252,505,10.0,0.0
1255,506,0.0,0.0
1256,507,0.0,0.0
1257,508,0.0,0.0
1261,509,9.0,0.0
1263,510,14.0,0.0
1268,511,0.0,0.0
1270,512,4.0,0.0
1273,513,0.0,0.0
1276,514,8.0,0.0
1277,515,0.0,0.0
1282,516,0.0,3.9915778636932373
1285,517,0.0,0.0
1286,518,0.0,0.0
1288,519,0.0,0.0
1291,520,8.0,0.0
1292,521,17.0,0.0
1294,522,2.0,0.0
