episode,return,rolling_mean_return_100,step
1,11.0,11.0,1
2,0.0,5.5,2
3,0.0,3.6666666666666665,3
4,0.0,2.75,4
5,0.0,2.2,5
6,0.0,1.8333333333333333,6
7,0.0,1.5714285714285714,7
8,11.0,2.75,8
9,0.0,2.4444444444444446,9
10,8.0,3.0,10
11,7.0,3.3636363636363638,11
12,0.0,3.0833333333333335,12
13,0.0,2.8461538461538463,13
14,1.0,2.7142857142857144,14
15,0.0,2.533333333333333,15
16,0.0,2.375,16
17,0.0,2.235294117647059,17
18,23.0,3.388888888888889,18
19,0.0,3.210526315789474,19
20,0.0,3.05,20
21,0.0,2.9047619047619047,21
22,0.0,2.772727272727273,22
23,0.0,2.652173913043478,23
24,18.0,3.2916666666666665,24
25,12.0,3.64,25
26,0.0,3.5,26
27,0.0,3.3703703703703702,27
28,0.0,3.25,28
29,20.0,3.8275862068965516,29
30,0.0,3.7,30
31,0.0,3.5806451612903225,31
32,0.0,3.46875,32
33,9.0,3.6363636363636362,33
34,0.0,3.5294117647058822,34
35,8.0,3.657142857142857,35
36,12.0,3.888888888888889,36
37,0.0,3.7837837837837838,37
38,0.0,3.6842105263157894,38
39,0.0,3.58974358974359,39
40,9.0,3.725,40
41,2.0,3.682926829268293,41
42,0.0,3.5952380952380953,42
43,0.0,3.511627906976744,43
44,4.0,3.522727272727273,44
45,0.0,3.4444444444444446,45
46,5.0,3.4782608695652173,46
47,15.0,3.723404255319149,47
48,22.0,4.104166666666667,48
49,0.0,4.020408163265306,49
50,16.0,4.26,50
51,8.0,4.333333333333333,51
52,0.0,4.25,52
53,0.0,4.169811320754717,53
54,0.0,4.092592592592593,54
55,0.0,4.0181818181818185,55
56,0.0,3.9464285714285716,56
57,20.0,4.228070175438597,57
58,0.0,4.155172413793103,58
59,0.0,4.084745762711864,59
60,0.0,4.016666666666667,60
61,0.0,3.9508196721311477,61
62,0.0,3.8870967741935485,62
63,0.0,3.8253968253968256,63
64,0.0,3.765625,64
65,10.0,3.8615384615384616,65
66,16.0,4.045454545454546,66
67,12.0,4.164179104477612,67
68,0.0,4.102941176470588,68
69,0.0,4.043478260869565,69
70,0.0,3.9857142857142858,70
71,15.0,4.140845070422535,71
72,21.0,4.375,72
73,0.0,4.315068493150685,73
74,11.0,4.405405405405405,74
75,0.0,4.346666666666667,75
76,0.0,4.2894736842105265,76
77,0.0,4.233766233766234,77
78,0.0,4.17948717948718,78
79,14.0,4.30379746835443,79
80,10.0,4.375,80
81,13.0,4.481481481481482,81
82,16.0,4.621951219512195,82
83,0.0,4.566265060240964,83
84,0.0,4.511904761904762,84
85,0.0,4.458823529411765,85
86,0.0,4.406976744186046,86
87,17.0,4.551724137931035,87
88,0.0,4.5,88
89,8.0,4.53932584269663,89
90,0.0,4.488888888888889,90
91,6.0,4.5054945054945055,91
92,0.0,4.456521739130435,92
93,0.0,4.408602150537634,93
94,0.0,4.361702127659575,94
95,25.0,4.578947368421052,95
96,20.0,4.739583333333333,96
97,11.0,4.804123711340206,97
98,12.0,4.877551020408164,98
99,13.0,4.959595959595959,99
100,0.0,4.91,100
101,0.0,4.8,101
102,12.0,4.92,102
103,0.0,4.92,103
104,0.0,4.92,104
105,15.0,5.07,105
106,0.0,5.07,106
107,0.0,5.07,107
108,0.0,4.96,108
109,0.0,4.96,109
110,0.0,4.88,110
111,0.0,4.81,111
112,0.0,4.81,112
