episode,return,rolling_mean_return_100,step
1,13.0,13.0,0
2,0.0,6.5,0
3,18.0,10.333333333333334,0
4,15.0,11.5,0
5,0.0,9.2,0
6,0.0,7.666666666666667,0
7,17.0,9.0,0
8,0.0,7.875,0
9,14.99,8.665555555555555,0
10,16.0,9.399,0
11,-0.01,8.543636363636365,0
12,15.99,9.164166666666667,0
13,20.0,9.997692307692308,0
14,14.0,10.28357142857143,0
15,-0.01,9.597333333333333,0
16,14.0,9.8725,0
17,-0.01,9.291176470588235,0
18,0.0,8.774999999999999,0
19,-0.03,8.311578947368421,0
20,-0.01,7.8955,0
21,14.0,8.186190476190475,0
22,0.0,7.8140909090909085,0
23,10.0,7.909130434782608,0
24,13.0,8.12125,0
25,0.0,7.7964,0
26,7.0,7.765769230769231,0
27,0.0,7.478148148148148,0
28,0.0,7.211071428571429,0
29,0.0,6.962413793103448,0
30,13.0,7.163666666666667,0
31,0.0,6.93258064516129,0
32,0.0,6.7159375,1
33,0.0,6.512424242424243,1
34,0.0,6.320882352941176,1
35,0.0,6.140285714285715,1
36,0.0,5.969722222222222,1
37,0.0,5.808378378378379,1
38,0.0,5.655526315789474,1
39,0.0,5.510512820512821,1
40,0.0,5.37275,1
41,0.0,5.24170731707317,1
42,0.0,5.116904761904761,1
43,0.0,4.997906976744186,1
44,0.0,4.884318181818181,1
45,0.0,4.775777777777778,1
46,0.0,4.671956521739131,1
47,0.0,4.572553191489361,1
48,0.0,4.477291666666667,1
49,0.0,4.385918367346939,1
50,0.0,4.2982,1
51,0.0,4.213921568627451,1
52,0.0,4.132884615384615,1
53,0.0,4.054905660377359,1
54,0.0,3.979814814814815,1
55,0.0,3.9074545454545455,1
56,0.0,3.8376785714285715,1
57,0.0,3.7703508771929823,1
58,0.0,3.705344827586207,2
59,-0.01,3.642372881355932,2
60,-0.01,3.5814999999999997,2
61,0.0,3.5227868852459014,2
62,0.0,3.4659677419354837,2
63,0.0,3.4109523809523807,2
64,0.0,3.35765625,2
65,16.0,3.5521538461538458,2
66,-0.01,3.498181818181818,2
67,0.0,3.445970149253731,2
68,14.0,3.601176470588235,2
69,0.0,3.548985507246377,2
70,0.0,3.498285714285714,2
71,0.0,3.4490140845070423,2
72,0.0,3.401111111111111,2
73,0.0,3.3545205479452056,2
74,16.99,3.5387837837837837,2
75,14.0,3.6782666666666666,2
76,10.0,3.7614473684210528,2
77,11.0,3.8554545454545455,2
78,15.99,4.0110256410256415,2
79,6.0,4.03620253164557,2
80,7.0,4.07325,2
81,16.0,4.220493827160494,2
82,0.0,4.169024390243902,2
83,6.0,4.191084337349397,2
84,18.0,4.355476190476191,2
85,0.0,4.304235294117647,2
86,0.0,4.254186046511628,3
